;taisaadress;x;y
364;Tartu maakond, Tartu linn, Narva mnt 104;58.390301841453;26.728572753857
365;Tartu maakond, Tartu linn, Kvissentali tee 17;58.406465963728;26.697331842331
366;;;
367;;;
368;;;
369;;;
370;;;
371;;;
372;;;
373;;;
374;;;
375;;;
376;Tartu maakond, Tartu linn, Kaunase pst 58;58.372785496672;26.773722442978
377;;;
378;;;
379;;;
380;;;
381;;;
382;;;
383;Tartu maakond, Tartu linn, Veski tn 57;58.377848225083;26.710826366143
384;Tartu maakond, Tartu linn, Eha tn 8;58.368731270006;26.723737954788
385;;;
386;;;
387;;;
388;;;
389;;;
390;;;
391;;;
392;;;
393;;;
